raw_position,reconciled_position
project management coordinator,project coordinator
maintenance engineer,maintenance worker
database manager,database administrator
assistant plant manager,plant manager
equipment planner,equipment operator
heavy machinery operator,heavy equipment operator
research executive,executive assistant
retail sales professional,retail sales assistant
manager of construction,construction superintendent
nursing aide,nurse assistant
patient care assistant,personal assistant
cocktail server,waiter
retail sales designer,retail sales assistant
network specialist,network administrator
grounds person,groundskeeper
director of art,art director
grounds worker,groundskeeper
operation manager,operations manager
food server,waiter
maintenance tech,maintenance worker
construction supervisor,construction superintendent
massage therapists,massage therapist
manager database,database administrator
programmer analyst,software developer
facilities technician,maintenance worker
manager factory,plant manager
custodial engineer,custodian
construction project director,construction manager
retail sales teammate,retail sales assistant
marketing project manager,project manager
construction project mgr,construction superintendent
application engineer,software developer
network engineer,network administrator
equipment tester,equipment operator
finance analyst,financial analyst
maintenance mgr,maintenance supervisor
manager maintenance,maintenance manager
bistro server,waiter
certified nurse assistant,nurse assistant
retail sales representative,retail sales assistant
occ ther,occupational therapist
bookkeeping clerk,bookkeeper
network systems engineer,network administrator
database dba,database administrator
custodial associate,janitor
therapist occupational,occupational therapist
manager plant,plant manager
dining room server,waiter
industrial painter,painter
equipment operators,equipment operator
lead project coordinator,project coordinator
automotive electrician,electrician
director of arts,art director
chartered accountant,accountant
construction foreman,construction manager
supervisor construction,construction manager
general accountant,accountant
plant chief,plant manager
retail sales consultant,retail sales assistant
stna,nurse assistant
director arts,art director
cfa,financial analyst
property custodian,janitor
web application engineer,web designer
administrative secretary,administration assistant
construction mgr,construction manager
maintenance team member,maintenance technician
building custodian,janitor
software programmer,software developer
welder tech,welder
nursing assistant,nurse assistant
executive secretary,executive assistant
facility manager,maintenance manager
junior financial analyst,financial analyst
cafe server,waiter
financial services supervisor,finance manager
maintenance associate,maintenance technician
facilities supervisor,maintenance supervisor
applications engineer,software developer
supervisor maintenance,maintenance supervisor
facilities engineer,maintenance worker
website developer,web designer
clinical pharmacist,pharmacist
grounds manager,facilities manager
equipment lead,equipment operator
sde,software developer
plant supervisor,plant manager
trainee accountant,accountant
equipment associate,equipment operator
nursing associate,nurse
executive chef,chef
facility supervisor,maintenance manager
cook,chef
financial services manager,finance manager
software engineers,software developer
sign painter,painter
columnist,journalist
janitor cleaner,janitor
pmp,project manager
assistant account executive,executive assistant
lna,nurse assistant
art instructor,art director
management accountant,accountant
admin executive,executive assistant
factory supervisor,plant manager
network systems administrator,network administrator
certified nursing assistant,nurse assistant
data scientist cover letter,data scientist
applications developer,software developer
senior financial analyst,financial analyst
front end developer,web designer
ground worker,groundskeeper
cena,nurse assistant
occup ther,occupational therapist
facility engineer,maintenance worker
ux designer,user interface designer
junior project manager,project manager
custodial maintenance worker,janitor
maintenance person,maintenance worker
grounds supervisor,facilities manager
rough carpenter,carpenter
retail sales lead,retail sales assistant
freelance bookkeeper,bookkeeper
application developer,software developer
analyst programmer,software developer
commercial agent,commercial analyst
retail sales associate,retail sales assistant
custodial laborer,janitor
financial specialist,financial analyst
full charge bookkeeper,bookkeeper
call center representative,call center agent
freelance art director,art director
projects coordinator,project coordinator
art buyer,art director
womens health nurse practitioner,nurse
network analyst,network administrator
telecom project manager,project manager
financial manager,finance manager
ground supervisor,facilities manager
finance supervisor,finance manager
network architect,network administrator
assistant bookkeeper,bookkeeper
maintenance specialist,maintenance worker
senior project manager,project manager
art historian,art director
art critic,art director
medical equipment,equipment operator
janitor custodian,custodian
retail sales consultants,retail sales assistant
structures engineer,structural engineer
structural design engineer,structural engineer
head custodian,janitor
custodial worker,janitor
hvac associate,hvac technician
construction project supervisor,construction manager
ac technician,hvac technician
manager facility,maintenance supervisor
commercial diver,commercial analyst
general maintenance mechanic,maintenance mechanic
manager construction,construction manager
construction project administrator,construction manager
banquet server,waiter
supervisor finance,finance manager
maintenance position,maintenance technician
general maintenance supervisor,facilities manager
hvac,hvac technician
occup therapist,occupational therapist
art assistant,art director
certified massage therapist,massage therapist
factory manager,plant manager
nurse aide,nurse assistant
business intelligence analyst,business analyst
state tested nursing assistant,nurse assistant
hvac mechanic,hvac technician
financial consultant,financial analyst
bookkeeping assistant,bookkeeper
web programmer,web designer
waiter waitress,waiter
maintenance technician mechanic,maintenance mechanic
hr executive,executive assistant
noc technician,network administrator
grounds technician,groundskeeper
