job_title	skill	type
bookkeeper	accounting department processes	knowledge
bookkeeper	bookkeeping regulations	knowledge
bookkeeper	financial statements	knowledge
bookkeeper	perform balance sheet operations	skill
bookkeeper	prepare financial statements	skill
bookkeeper	depreciation	knowledge
bookkeeper	follow the statutory obligations	skill
bookkeeper	accounting techniques	knowledge
bookkeeper	identify accounting errors	skill
bookkeeper	accounting entries	knowledge
bookkeeper	use accounting systems	skill
bookkeeper	commercial law	knowledge
bookkeeper	tax legislation	knowledge
bookkeeper	manage the general ledger	skill
bookkeeper	attach accounting certificates to accounting transactions	skill
bookkeeper	prepare trial accounting balances	skill
bookkeeper	company policies	knowledge
bookkeeper	maintain financial records	skill
accounting assistant	accounting department processes	knowledge
accounting assistant	perform business research	skill
accounting assistant	allocate bills	skill
accounting assistant	bookkeeping regulations	knowledge
accounting assistant	check accounting records	skill
accounting assistant	depreciation	knowledge
accounting assistant	manage corporate bank accounts	skill
accounting assistant	follow up accounts receivables	skill
accounting assistant	use office systems	skill
accounting assistant	follow the statutory obligations	skill
accounting assistant	accounting techniques	knowledge
accounting assistant	identify accounting errors	skill
accounting assistant	accounting entries	knowledge
accounting assistant	use accounting systems	skill
accounting assistant	tax legislation	knowledge
accounting assistant	issue sales invoices	skill
accounting assistant	perform account allocation	skill
accounting assistant	attach accounting certificates to accounting transactions	skill
accounting assistant	prepare trial accounting balances	skill
accounting assistant	maintain financial records	skill
accountant	accounting department processes	knowledge
accountant	prepare tax returns forms	skill
accountant	calculate tax	skill
accountant	bookkeeping regulations	knowledge
accountant	financial department processes	knowledge
accountant	financial statements	knowledge
accountant	fraud detection	knowledge
accountant	perform balance sheet operations	skill
accountant	interpret financial statements	skill
accountant	check accounting records	skill
accountant	prepare financial statements	skill
accountant	depreciation	knowledge
accountant	statistics	knowledge
accountant	follow the statutory obligations	skill
accountant	accounting techniques	knowledge
accountant	identify accounting errors	skill
accountant	analyse financial performance of a company	skill
accountant	accounting entries	knowledge
accountant	draft accounting procedures	skill
accountant	explain accounting records	skill
accountant	commercial law	knowledge
accountant	tax legislation	knowledge
accountant	ensure compliance with accounting conventions	skill
accountant	manage accounts	skill
accountant	attach accounting certificates to accounting transactions	skill
accountant	prepare trial accounting balances	skill
financial controller	accounting department processes	knowledge
financial controller	enforce financial policies	skill
financial controller	financial department processes	knowledge
financial controller	financial statements	knowledge
financial controller	develop financial statistics reports	skill
financial controller	create a financial plan	skill
financial controller	synthesise financial information	skill
financial controller	synthesise financial information	skill
financial controller	interpret financial statements	skill
financial controller	prepare financial statements	skill
financial controller	evaluate budgets	skill
financial controller	follow the statutory obligations	skill
financial controller	analyse financial performance of a company	skill
financial controller	track key performance indicators	skill
financial controller	exert expenditure control	skill
financial controller	explain accounting records	skill
financial controller	tax legislation	knowledge
financial controller	ensure compliance with accounting conventions	skill
accounting manager	accounting department processes	knowledge
accounting manager	integrate strategic foundation in daily performance	skill
accounting manager	support development of annual budget	skill
accounting manager	enforce financial policies	skill
accounting manager	analyse market financial trends	skill
accounting manager	strive for company growth	skill
accounting manager	monitor financial accounts	skill
accounting manager	financial department processes	knowledge
accounting manager	financial statements	knowledge
accounting manager	international financial reporting standards	knowledge
accounting manager	financial management	knowledge
accounting manager	fraud detection	knowledge
accounting manager	create a financial plan	skill
accounting manager	interpret financial statements	skill
accounting manager	check accounting records	skill
accounting manager	depreciation	knowledge
accounting manager	evaluate budgets	skill
accounting manager	corporate social responsibility	knowledge
accounting manager	follow the statutory obligations	skill
accounting manager	analyse financial performance of a company	skill
accounting manager	financial analysis	knowledge
accounting manager	accounting entries	knowledge
accounting manager	draft accounting procedures	skill
accounting manager	plan health and safety procedures	skill
accounting manager	explain accounting records	skill
accounting manager	national generally accepted accounting principles	knowledge
accounting manager	tax legislation	knowledge
accounting manager	ensure compliance with accounting conventions	skill
accounting manager	ensure compliance with disclosure criteria of accounting information	skill
accounting manager	idenfify if a company is a going concern	skill
accounting manager	manage accounts	skill
accounting manager	supervise accounting operations	skill
accounting manager	follow company standards	skill
billing clerk	allocate bills	skill
billing clerk	financial department processes	knowledge
billing clerk	file documents	skill
billing clerk	organise business documents	skill
billing clerk	follow up accounts receivables	skill
billing clerk	use office systems	skill
billing clerk	financial capability	knowledge
billing clerk	fill out forms	skill
billing clerk	maintain credit history of clients	skill
billing clerk	maintain customer records	skill
billing clerk	handle financial transactions	skill
billing clerk	maintain financial records	skill
accounting analyst	accounting department processes	knowledge
accounting analyst	monitor financial accounts	skill
accounting analyst	financial department processes	knowledge
accounting analyst	financial statements	knowledge
accounting analyst	international financial reporting standards	knowledge
accounting analyst	analyse business processes	skill
accounting analyst	interpret financial statements	skill
accounting analyst	check accounting records	skill
accounting analyst	accounting techniques	knowledge
accounting analyst	analyse financial performance of a company	skill
accounting analyst	accounting entries	knowledge
accounting analyst	draft accounting procedures	skill
accounting analyst	explain accounting records	skill
accounting analyst	national generally accepted accounting principles	knowledge
accounting analyst	create a financial report	skill
accounting analyst	analyse financial risk	skill
accounting analyst	supervise accounting operations	skill
sales support assistant	perform business research	skill
sales support assistant	bookkeeping regulations	knowledge
sales support assistant	sales activities	knowledge
sales support assistant	handle mail	skill
sales support assistant	perform office routine activities	skill
sales support assistant	perform clerical duties	skill
stage manager	analyse the artistic concept based on stage actions	skill
stage manager	work ergonomically	skill
stage manager	understand artistic concepts	skill
stage manager	safeguard artistic quality of performance	skill
stage manager	write risk assessment on performing arts production	skill
stage manager	analyse score	skill
stage manager	analyse the scenography	skill
stage manager	organise stage	skill
stage manager	cue a performance	skill
stage manager	adapt artistic plan to location	skill
stage manager	use personal protection equipment	skill
stage manager	adapt to artists' creative demands	skill
stage manager	prevent fire in a performance environment	skill
stage manager	intervene with actions on stage	skill
stage manager	use communication equipment	skill
stage manager	coordinate the running of a performance	skill
stage manager	negotiate health and safety issues with third parties	skill
stage manager	translate artistic concepts to technical designs	skill
stage manager	support a designer in the developing process	skill
stage manager	promote health and safety	skill
stage manager	analyse a script	skill
stage manager	work safely with mobile electrical systems under supervision	skill
stage manager	work with respect for own safety	skill
stage manager	interpret artistic intentions	skill
stage manager	react to emergency situations in a live performance environment	skill
stage manager	use technical documentation	skill
stage manager	follow safety procedures when working at heights	skill
dance teacher	guarantee students' safety	skill
dance teacher	consult students on learning content	skill
dance teacher	develop a coaching style	skill
dance teacher	prepare lesson content	skill
dance teacher	inspire enthusiasm for dance	skill
dance teacher	bring out performers’ artistic potential	skill
dance teacher	demonstrate technical expertise of your dance style	skill
dance teacher	observe student's progress	skill
dance teacher	direct movement experiences	skill
dance teacher	manage student relationships	skill
dance teacher	adapt teaching to student's capabilities	skill
dance teacher	apply teaching strategies	skill
dance teacher	express yourself physically	skill
dance teacher	inspire dance participants to improve	skill
dance teacher	help performers internalise choreographic material	skill
dance teacher	maintain safe working conditions in performing arts	skill
dance teacher	teamwork principles	knowledge
dance teacher	demonstrate when teaching	skill
dance teacher	give constructive feedback	skill
dance teacher	teach dance	skill
dance teacher	perform classroom management	skill
dance teacher	provide lesson materials	skill
dance teacher	assist students in their learning	skill
dance teacher	balance participants' personal needs with group needs	skill
dance teacher	encourage students to acknowledge their achievements	skill
dancer	perform live	skill
dancer	labour legislation	knowledge
dancer	accept feedback on artistic performance	skill
dancer	check the production schedule	skill
dancer	intellectual property law	knowledge
dancer	dance	skill
dancer	work with a dance team	skill
dancer	develop an artistic approach to your interpretation	skill
dancer	acting techniques	knowledge
dancer	maintain dance training	skill
dancer	maintain safe working conditions in performing arts	skill
dancer	promote yourself	skill
dancer	manage personal professional development	skill
dancer	interact with an audience	skill
dancer	work with respect for own safety	skill
dancer	work with broad variety of personalities	skill
dancer	perform fast changeover	skill
dancer	manage artistic career	skill
dancer	be in touch with your body	knowledge
dancer	theatre techniques	knowledge
chief operating officer	integrate strategic foundation in daily performance	skill
chief operating officer	conclude business agreements	skill
chief operating officer	ensure lawful business operations	skill
chief operating officer	establish collaborative relations	skill
chief operating officer	lead managers of company departments	skill
chief operating officer	analyse business objectives	skill
chief operating officer	financial statements	knowledge
chief operating officer	marketing management	knowledge
chief operating officer	show an exemplary leading role in an organisation	skill
chief operating officer	evaluate performance of organisational collaborators	skill
chief operating officer	evaluate performance of organisational collaborators	skill
chief operating officer	interpret financial statements	skill
chief operating officer	abide by business ethical code of conducts	skill
chief operating officer	negotiate with stakeholders	skill
chief operating officer	track key performance indicators	skill
chief operating officer	business process modelling	knowledge
chief operating officer	delegate activities	skill
chief operating officer	develop professional network	skill
chief operating officer	plan medium to long term objectives	skill
chief operating officer	get involved in the day-to-day operation of the company	skill
chief operating officer	shape organisational teams based on competencies	skill
chief operating officer	make strategic business decisions	skill
chief operating officer	company policies	knowledge
activity leader	manage feedback	skill
activity leader	communication	knowledge
activity leader	entertain people	skill
activity leader	manage groups outdoors	skill
activity leader	evaluate outdoor activities	skill
activity leader	assess risk in the outdoors	skill
activity leader	demonstrate games	skill
activity leader	react acordingly to unexpected events outdoors	skill
activity leader	animate in the outdoors	skill
activity leader	communicate in an outdoor setting	skill
activity leader	play with children	skill
activity leader	organise camp activities	skill
activity leader	support children's wellbeing	skill
activity leader	communicate with youth	skill
activity leader	manage outdoor resources	skill
activity leader	implement risk management for outdoors	skill
activity leader	apply organisational techniques	skill
activity leader	give feedback on changing circumstances	skill
activity leader	supervise children	skill
activity leader	plan self-organisation	skill
outdoor activities coordinator	empathise with outdoor groups	skill
outdoor activities coordinator	manage feedback	skill
outdoor activities coordinator	manage groups outdoors	skill
outdoor activities coordinator	evaluate outdoor activities	skill
outdoor activities coordinator	research outdoor activities	skill
outdoor activities coordinator	assess risk in the outdoors	skill
outdoor activities coordinator	react acordingly to unexpected events outdoors	skill
outdoor activities coordinator	animate in the outdoors	skill
outdoor activities coordinator	communicate in an outdoor setting	skill
outdoor activities coordinator	monitor use of outdoor equipment	skill
outdoor activities coordinator	manage outdoor resources	skill
outdoor activities coordinator	structure information	skill
outdoor activities coordinator	implement risk management for outdoors	skill
outdoor activities coordinator	monitor interventions in the outdoors	skill
outdoor activities coordinator	give feedback on changing circumstances	skill
outdoor activities coordinator	plan self-organisation	skill
occupational therapist	develop a rehabilitation programme	skill
occupational therapist	hygiene in a health care setting	knowledge
occupational therapist	respond to changing situations in health care	skill
occupational therapist	educate on the prevention of illness	skill
occupational therapist	inform policy makers on health-related challenges	skill
occupational therapist	contribute to continuity of health care	skill
occupational therapist	use e-health and mobile health technologies	skill
occupational therapist	health care legislation	knowledge
occupational therapist	exercise patience	skill
occupational therapist	occupational physiology	knowledge
occupational therapist	empathise with the healthcare user	skill
occupational therapist	medical terminology	knowledge
occupational therapist	provide assistive technology	skill
occupational therapist	orthopaedics	knowledge
occupational therapist	perform patient activity analyses	skill
occupational therapist	health care occupation-specific ethics	knowledge
occupational therapist	record healthcare users' progress related to treatment	skill
occupational therapist	community-based rehabilitation	knowledge
occupational therapist	monitor patients' progress related to treatment	skill
occupational therapist	supervision of persons	knowledge
occupational therapist	manage healthcare users' data	skill
occupational therapist	general medicine	knowledge
occupational therapist	occupational therapy theories	knowledge
occupational therapist	human physiology	knowledge
occupational therapist	deal with emergency care situations	skill
occupational therapist	geriatrics	knowledge
occupational therapist	neurology	knowledge
occupational therapist	provide health education	skill
occupational therapist	use computer programs to improve patients' skills	skill
occupational therapist	assist healthcare users achieve autonomy in everyday activities	skill
occupational therapist	communicate effectively in healthcare	skill
occupational therapist	undertake healthcare examination	skill
occupational therapist	follow clinical guidelines	skill
occupational therapist	encourage healthcare user's self-monitoring	skill
occupational therapist	advise on healthcare users' informed consent	skill
occupational therapist	apply techniques of occupational therapy	skill
occupational therapist	vocational rehabilitation	knowledge
occupational therapist	paediatrics	knowledge
occupational therapist	sociology	knowledge
occupational therapist	create individual treatment programmes	skill
occupational therapist	perform occupation analyses	skill
occupational therapist	comply with quality standards related to healthcare practice	skill
occupational therapist	professional documentation in health care	knowledge
occupational therapist	human anatomy	knowledge
occupational therapist	comply with legislation related to health care	skill
occupational therapist	listen actively	skill
occupational therapist	instruct on the use of special equipment for daily activities	skill
occupational therapist	advise on environmental alterations	skill
occupational therapist	apply health sciences	skill
occupational therapist	adhere to organisational guidelines	skill
occupational therapist	physical medicine	knowledge
occupational therapist	occupational science	knowledge
occupational therapist	medical informatics	knowledge
occupational therapist	work in a multicultural environment in health care	skill
occupational therapist	identify the healthcare user’s personal capacity	skill
occupational therapist	promote inclusion	skill
occupational therapist	psychology	knowledge
occupational therapist	interact with healthcare users	skill
occupational therapist	facilitate healthcare user's engagement in occupations	skill
occupational therapist	ensure safety of healthcare users	skill
occupational therapist	assess risks for the elderly	skill
occupational therapist	apply organisational techniques	skill
occupational therapist	develop a collaborative therapeutic relationship	skill
occupational therapist	pathology	knowledge
occupational therapist	apply context specific clinical competences	skill
occupational therapist	use techniques to increase patients' motivation	skill
occupational therapist	work in multidisciplinary health teams	skill
occupational therapist	movement techniques	knowledge
occupational therapist	accept own accountability	skill
occupational therapist	psychiatry	knowledge
occupational therapist	educate patient's relations on care	skill
occupational therapist	ergonomics	knowledge
occupational therapist	remediate healthcare user's occupational performance	skill
actor/actress	create solutions to problems	skill
actor/actress	perform live	skill
actor/actress	rehearse role	skill
actor/actress	accept feedback on artistic performance	skill
actor/actress	analyse theatre texts	skill
actor/actress	study roles from scripts	skill
actor/actress	attend rehearsals	skill
actor/actress	interpret performance concepts in the creative process	skill
actor/actress	rehearse with fellow actors	skill
actor/actress	engage the audience emotionally	skill
actor/actress	interact with fellow actors	skill
actor/actress	promote yourself	skill
actor/actress	study relationships between characters	skill
actor/actress	analyse own performance	skill
actor/actress	interact with an audience	skill
actor/actress	memorise lines	skill
actor/actress	follow directions of the artistic director	skill
actor/actress	work with respect for own safety	skill
actor/actress	act for an audience	skill
actor/actress	declaim	skill
actor/actress	be in touch with your body	knowledge
actor/actress	work with an artistic team	skill
actor/actress	adapt to different roles	skill
artistic coach	assess your competences for artistic coaching	skill
artistic coach	collaborate with coaching team	skill
artistic coach	manage participants' expectations	skill
artistic coach	provide arts coaching sessions	skill
artistic coach	maintain safe working conditions in performing arts	skill
artistic coach	manage personal professional development	skill
artistic coach	work with respect for own safety	skill
artistic coach	define artistic approach	skill
artistic coach	work with broad variety of personalities	skill
artistic coach	manage artistic career	skill
artistic coach	be in touch with your body	knowledge
actuarial consultant	produce statistical financial records	skill
actuarial consultant	financial products	knowledge
actuarial consultant	perform risk analysis	skill
actuarial consultant	analyse market financial trends	skill
actuarial consultant	apply statistical analysis techniques	skill
actuarial consultant	create a financial plan	skill
actuarial consultant	synthesise financial information	skill
actuarial consultant	synthesise financial information	skill
actuarial consultant	provide support in financial calculation	skill
actuarial consultant	obtain financial information	skill
actuarial consultant	advise on financial matters	skill
actuarial consultant	statistics	knowledge
actuarial consultant	actuarial science	knowledge
judge	supervise court hearings	skill
judge	show responsibility	skill
judge	show impartiality	skill
judge	maintain court order	skill
judge	hear legal arguments	skill
judge	interpret law	skill
judge	observe confidentiality	skill
judge	civil law	knowledge
judge	legal terminology	knowledge
judge	court procedures	knowledge
judge	civil process order	knowledge
administrative assistant	maintain statutory books	skill
administrative assistant	perform business research	skill
administrative assistant	disseminate internal communications	skill
administrative assistant	file documents	skill
administrative assistant	organise business documents	skill
administrative assistant	keep task records	skill
administrative assistant	disseminate general corporate information	skill
administrative assistant	use office systems	skill
administrative assistant	handle mail	skill
administrative assistant	perform office routine activities	skill
administrative assistant	disseminate messages to people	skill
administrative assistant	fill out forms	skill
administrative assistant	ensure proper document management	skill
administrative assistant	organise facilities for office personnel	skill
administrative assistant	draft corporate emails	skill
administrative assistant	use microsoft office	skill
administrative assistant	company policies	knowledge
statistical assistant	identify statistical patterns	skill
statistical assistant	gather data	skill
statistical assistant	perform data analysis	skill
statistical assistant	execute analytical mathematical calculations	skill
statistical assistant	apply statistical analysis techniques	skill
statistical assistant	mathematics	knowledge
statistical assistant	think analytically	skill
statistical assistant	apply scientific methods	skill
statistical assistant	statistics	knowledge
statistical assistant	conduct quantitative research	skill
statistical assistant	write work-related reports	skill
statistical assistant	write technical reports	skill
statistical assistant	statistical analysis system software	knowledge
statistical assistant	process data	skill
statistician	identify statistical patterns	skill
statistician	gather data	skill
statistician	perform data analysis	skill
statistician	execute analytical mathematical calculations	skill
statistician	apply statistical analysis techniques	skill
statistician	mathematics	knowledge
statistician	think analytically	skill
statistician	apply scientific methods	skill
statistician	statistics	knowledge
statistician	conduct quantitative research	skill
statistician	statistical analysis system software	knowledge
statistician	data quality assessment	knowledge
statistician	scientific research methodology	knowledge
statistician	process data	skill
healthcare assistant	respond to changing situations in health care	skill
healthcare assistant	educate on the prevention of illness	skill
healthcare assistant	inform policy makers on health-related challenges	skill
healthcare assistant	contribute to continuity of health care	skill
healthcare assistant	use e-health and mobile health technologies	skill
healthcare assistant	empathise with the healthcare user	skill
healthcare assistant	provide basic support to patients	skill
healthcare assistant	identify abnormalities	skill
healthcare assistant	manage healthcare users' data	skill
healthcare assistant	deal with emergency care situations	skill
healthcare assistant	provide health education	skill
healthcare assistant	support nurses	skill
healthcare assistant	work under supervision in care	skill
healthcare assistant	communicate with nursing staff	skill
healthcare assistant	follow clinical guidelines	skill
healthcare assistant	advise on healthcare users' informed consent	skill
healthcare assistant	comply with quality standards related to healthcare practice	skill
healthcare assistant	comply with legislation related to health care	skill
healthcare assistant	listen actively	skill
healthcare assistant	apply health sciences	skill
healthcare assistant	adhere to organisational guidelines	skill
healthcare assistant	convey medical routine information	skill
healthcare assistant	work in a multicultural environment in health care	skill
healthcare assistant	work with nursing staff	skill
healthcare assistant	promote inclusion	skill
healthcare assistant	interact with healthcare users	skill
healthcare assistant	ensure safety of healthcare users	skill
healthcare assistant	have computer literacy	skill
healthcare assistant	monitor basic patients signs	skill
healthcare assistant	apply organisational techniques	skill
healthcare assistant	develop a collaborative therapeutic relationship	skill
healthcare assistant	work in multidisciplinary health teams	skill
healthcare assistant	accept own accountability	skill
secretary	disseminate internal communications	skill
secretary	maintain internal communication systems	skill
secretary	file documents	skill
secretary	organise business documents	skill
secretary	monitor staff absences	skill
secretary	keep task records	skill
secretary	process commissioned instructions	skill
secretary	handle mail	skill
secretary	perform office routine activities	skill
secretary	manage personnel agenda	skill
secretary	disseminate messages to people	skill
secretary	fill out forms	skill
secretary	organise facilities for office personnel	skill
secretary	communicate schedules to the people concerned	skill
secretary	communicate by telephone	skill
secretary	draft corporate emails	skill
secretary	use microsoft office	skill
secretary	company policies	knowledge
typist	type error-free documents	skill
typist	align content with form	skill
typist	use free typing techniques	skill
typist	transcription methods	knowledge
typist	pose questions referring to documents	skill
typist	apply grammar and spelling rules	skill
typist	provide written content	skill
typist	use dictionaries	skill
typist	draft corporate emails	skill
typist	decode handwritten texts	skill
typist	use microsoft office	skill
typist	company policies	knowledge
office manager	give instructions to staff	skill
office manager	manage needs for stationery items	skill
office manager	manage staff	skill
office manager	use different communication channels	skill
office manager	manage office facility systems	skill
office manager	use office systems	skill
office manager	manage administrative systems	skill
office manager	cost management	knowledge
office manager	write work-related reports	skill
office manager	create a work atmosphere of continuous improvement	skill
office manager	perform clerical duties	skill
office manager	delegate activities	skill
office manager	make improvements to work activities	skill
office manager	manage office appliance requirements	skill
office manager	office software	knowledge
office manager	analyse staff capacity	skill
office manager	implement corporate governance	skill
office clerk	communicate with customers	skill
office clerk	disseminate internal communications	skill
office clerk	file documents	skill
office clerk	organise business documents	skill
office clerk	use different communication channels	skill
office clerk	align content with form	skill
office clerk	process commissioned instructions	skill
office clerk	use office systems	skill
office clerk	handle mail	skill
office clerk	perform office routine activities	skill
office clerk	disseminate messages to people	skill
office clerk	fill out forms	skill
office clerk	prepare correspondence for customers	skill
office clerk	apply grammar and spelling rules	skill
office clerk	information confidentiality	knowledge
office clerk	maintain correspondence records	skill
office clerk	organise facilities for office personnel	skill
office clerk	route correspondence to business departments	skill
office clerk	communicate by telephone	skill
office clerk	deliver correspondence	skill
office clerk	handle delivered packages	skill
office clerk	process data	skill
office clerk	facilitate access to information	skill
office clerk	company policies	knowledge
social security administrator	promote social security programmes	skill
social security administrator	liaise with local authorities	skill
social security administrator	government policy implementation	knowledge
social security administrator	manage staff	skill
social security administrator	ensure information transparency	skill
social security administrator	government social security programmes	knowledge
social security administrator	maintain relationships with government agencies	skill
social security administrator	delegate activities	skill
social security administrator	social security law	knowledge
social security administrator	provide improvement strategies	skill
social security administrator	develop social security programmes	skill
social security administrator	advise on legislative acts	skill
social security administrator	manage government policy implementation	skill
social security administrator	analyse community needs	skill
admissions coordinator	provide information on school services	skill
admissions coordinator	assist students with their enrolment	skill
admissions coordinator	provide education management support	skill
admissions coordinator	assessment processes	knowledge
admissions coordinator	assess students	skill
admissions coordinator	identify education needs	skill
admissions coordinator	manage student admissions	skill
admissions coordinator	provide information on education financing	skill
sound designer	analyse the artistic concept based on stage actions	skill
sound designer	monitor developments in technology used for design	skill
sound designer	work ergonomically	skill
sound designer	mix multi-track recordings	skill
sound designer	understand spoken Japanese	skill
sound designer	safeguard artistic quality of performance	skill
sound designer	analyse score	skill
sound designer	monitor sociological trends	skill
sound designer	analyse the scenography	skill
sound designer	perform quality control of design during a run	skill
sound designer	communicate during show	skill
sound designer	update design results during rehearsals	skill
sound designer	research new ideas	skill
sound designer	adapt to artists' creative demands	skill
sound designer	program sound cues	skill
sound designer	verify feasibility	skill
sound designer	verify feasibility	skill
sound designer	operate an audio mixing console	skill
sound designer	use communication equipment	skill
sound designer	mix sound in a live situation	skill
sound designer	coach staff for running the performance	skill
sound designer	meet deadlines	skill
sound designer	analyse a script	skill
sound designer	record multi-track sound	skill
sound designer	propose improvements to artistic production	skill
sound designer	present detailed design proposals	skill
sound designer	adapt existing designs to changed circumstances	skill
sound designer	plan a recording	skill
sound designer	use technical documentation	skill
sound designer	develop design concept	skill
sound designer	operate sound live	skill
sound designer	develop design ideas cooperatively	skill
policy manager	integrate strategic foundation in daily performance	skill
policy manager	organisational policies	knowledge
policy manager	business analysis	knowledge
policy manager	corporate social responsibility	knowledge
policy manager	monitor company policy	skill
policy manager	advise on efficiency improvements	skill
policy manager	strategic planning	knowledge
policy manager	develop company strategies	skill
policy manager	ensure compliance with policies	skill
service manager	create solutions to problems	skill
service manager	customer service	knowledge
service manager	manage staff	skill
service manager	supervise the management of an establishment	skill
service manager	corporate social responsibility	knowledge
service manager	identify customer's needs	skill
service manager	supervise work	skill
service manager	plan health and safety procedures	skill
service manager	product comprehension	knowledge
service manager	customer relationship management	knowledge
service manager	develop business plans	skill
service manager	follow company standards	skill
sales account manager	apply company policies	skill
sales account manager	ensure customer focus	skill
sales account manager	characteristics of products	knowledge
sales account manager	customer service	knowledge
sales account manager	study sales levels of products	skill
sales account manager	perform data analysis	skill
sales account manager	perform customers’ needs analysis	skill
sales account manager	implement customer follow-up	skill
sales account manager	forecast account metrics	skill
sales account manager	prospect new customers	skill
sales account manager	negotiate price	skill
sales account manager	manage contracts	skill
sales account manager	use customer relationship management software	skill
sales account manager	maximise sales revenues	skill
sales account manager	produce sales reports	skill
sales account manager	maintain customer records	skill
sales account manager	product comprehension	knowledge
sales account manager	build business relationships	skill
sales account manager	keep records on sales	skill
sales account manager	company policies	knowledge
sales account manager	characteristics of services	knowledge
sales manager	integrate strategic foundation in daily performance	skill
sales manager	plan marketing strategy	skill
sales manager	sales argumentation	knowledge
sales manager	study sales levels of products	skill
sales manager	pricing strategies	knowledge
sales manager	motivate employees	skill
sales manager	carry out sales analysis	skill
sales manager	manage staff	skill
sales manager	evaluate marketing content	skill
sales manager	manage profitability	skill
sales manager	create annual marketing budget	skill
sales manager	corporate social responsibility	knowledge
sales manager	analyse consumer buying trends	skill
sales manager	define measurable marketing objectives	skill
sales manager	track key performance indicators	skill
sales manager	coordinate marketing plan actions	skill
sales manager	analyse internal factors of companies	skill
sales manager	write work-related reports	skill
sales manager	brand marketing techniques	knowledge
sales manager	plan marketing campaign	skill
sales manager	impart business plans to collaborators	skill
sales manager	integrate marketing strategies with the global strategy	skill
sales manager	content marketing strategy	knowledge
sales manager	produce sales reports	skill
sales manager	implement sales strategies	skill
sales manager	develop professional network	skill
sales manager	prepare visual data	skill
sales manager	sales department processes	knowledge
sales manager	analyse customer service surveys	skill
sales manager	set sales goals	skill
sales manager	analyse external factors of companies	skill
sales manager	supervise sales activities	skill
sales manager	marketing mix	knowledge
sales manager	market pricing	knowledge
sales manager	identify potential markets for companies	skill
sales manager	sales strategies	knowledge
sales manager	align efforts towards business development	skill
sales manager	make strategic business decisions	skill
sales manager	perform market research	skill
sales manager	analyse work-related written reports	skill
advertising specialist	persuade clients with alternatives	skill
advertising specialist	brainstorm ideas	skill
advertising specialist	identify customer's needs	skill
advertising specialist	liaise with advertising agencies	skill
advertising specialist	develop creative ideas	skill
advertising specialist	advertising techniques	knowledge
advertising specialist	develop professional network	skill
advertising specialist	give live presentation	skill
advertising specialist	copyright legislation	knowledge
advertising specialist	perform market research	skill
creative director	manage budgets	skill
creative director	manage staff	skill
creative director	meet expectations of target audience	skill
creative director	brainstorm ideas	skill
creative director	identify customer's needs	skill
creative director	manage workflow processes	skill
creative director	manage creative department	skill
creative director	examine advertisement layout	skill
creative director	advertising techniques	knowledge
creative director	coordinate advertising campaigns	skill
creative director	desktop publishing	knowledge
creative director	give live presentation	skill
creative director	copyright legislation	knowledge
advertising manager	integrate strategic foundation in daily performance	skill
advertising manager	prepare presentation material	skill
advertising manager	manage budgets	skill
advertising manager	protect client interests	skill
advertising manager	advise on public relations	skill
advertising manager	organise press conferences	skill
advertising manager	develop communications strategies	skill
advertising manager	use different communication channels	skill
advertising manager	draw conclusions from market research results	skill
advertising manager	provide cost benefit analysis reports	skill
advertising manager	perform interviews	skill
advertising manager	diplomatic principles	knowledge
advertising manager	corporate social responsibility	knowledge
advertising manager	identify customer's needs	skill
advertising manager	establish relationship with the media	skill
advertising manager	draft press releases	skill
advertising manager	perform public relations	skill
advertising manager	market research	knowledge
advertising manager	develop creative ideas	skill
advertising manager	coordinate marketing plan actions	skill
advertising manager	forming of public opinion	knowledge
advertising manager	manage contracts	skill
advertising manager	strategic planning	knowledge
advertising manager	rhetoric	knowledge
advertising manager	advertising techniques	knowledge
advertising manager	coordinate advertising campaigns	skill
advertising manager	develop public relations strategies	skill
advertising manager	perform project management	skill
advertising manager	analyse external factors of companies	skill
advertising manager	advise on public image	skill
advertising manager	copyright legislation	knowledge
advertising manager	conduct public presentations	skill
network marketer	sales argumentation	knowledge
network marketer	implement marketing strategies	skill
network marketer	characteristics of products	knowledge
network marketer	communication	knowledge
network marketer	sell products	skill
network marketer	use different communication channels	skill
network marketer	network marketing	knowledge
network marketer	apply social media marketing	skill
network marketer	apply strategic thinking	skill
network marketer	work independently in sales	skill
network marketer	advertising techniques	knowledge
network marketer	implement sales strategies	skill
network marketer	carry out active selling	skill
network marketer	marketing mix	knowledge
network marketer	product comprehension	knowledge
network marketer	marketing principles	knowledge
network marketer	apply customer engagement strategy	skill
network marketer	characteristics of services	knowledge
photographer	operate a camera	skill
photographer	select auxiliary equipment for photographic work	skill
photographer	develop an artistic framework	skill
photographer	set up photographic equipment	skill
photographer	develop visual elements	skill
photographer	set up cameras	skill
photographer	create digital images	skill
photographer	select photos	skill
photographer	prepare personal work environment	skill
photographer	determine image composition	skill
photographer	select photographic equipment	skill
photographer	maintain photographic equipment	skill
photographer	license photo usage	skill
photographer	create artificial light	skill
photographer	test photographic equipment	skill
justice of the peace	make legal decisions	skill
justice of the peace	supervise court hearings	skill
justice of the peace	compile legal documents	skill
justice of the peace	maintain court order	skill
justice of the peace	hear legal arguments	skill
justice of the peace	analyse legal evidence	skill
justice of the peace	comply with legal regulations	skill
justice of the peace	interpret law	skill
justice of the peace	supervise legal case procedures	skill
